Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
199201,-0.59,-0.0059,8.46,4.71,0.34,-0.02,0.0812,0.0437,0.9941,1.0812,1.0437
199202,1.09,0.0109,0.87,6.47,0.28,0.01,0.0059,0.0619,1.00493569,1.08757908,1.10830503
199203,-2.66,-0.0266,-1.04,3.56,0.34,-0.02,-0.0138,0.0322,0.978204401,1.072570489,1.143992452
199204,1.07,0.0107,-6.06,4.34,0.32,0.03,-0.0638,0.0402,0.988671188,1.004140492,1.189980949
199205,0.3,0.003,0.41,1.19,0.28,0,0.0013,0.0091,0.991637201,1.005445874,1.200809775
199206,-2.34,-0.0234,-3.07,3.24,0.32,-0.02,-0.0339,0.0292,0.968432891,0.971361259,1.235873421
199207,3.77,0.0377,-0.47,-0.56,0.31,0.04,-0.0078,-0.0087,1.004942811,0.963784641,1.225121322
199208,-2.38,-0.0238,-0.13,-1.1,0.26,-0.02,-0.0039,-0.0136,0.981025172,0.960025881,1.208459672
199209,1.19,0.0119,0.54,-0.26,0.26,0.01,0.0028,-0.0052,0.992699371,0.962713954,1.202175682
199210,1.02,0.0102,2.09,-1.98,0.23,0,0.0186,-0.0221,1.002824905,0.980620433,1.175607599
199211,4.13,0.0413,3.76,-1.35,0.23,0.03,0.0353,-0.0158,1.044241574,1.015236334,1.157032999
199212,1.53,0.0153,1.69,2.62,0.28,0.01,0.0141,0.0234,1.06021847,1.029551167,1.184107571
199301,0.93,0.0093,1.89,5.94,0.23,0.01,0.0166,0.0571,1.070078501,1.046641716,1.251720113
199302,0.12,0.0012,-3.48,6.42,0.22,0.01,-0.037,0.062,1.071362596,1.007915973,1.32932676
199303,2.3,0.023,0.24,1.18,0.25,0.02,-0.0001,0.0093,1.096003935,1.007815181,1.341689499
199304,-3.05,-0.0305,-0.67,2.49,0.24,-0.03,-0.0091,0.0225,1.062575815,0.998644063,1.371877513
199305,2.89,0.0289,2.04,-3.42,0.22,0.02,0.0182,-0.0364,1.093284256,1.016819385,1.321941172
199306,0.31,0.0031,-0.29,2.75,0.25,0,-0.0054,0.025,1.096673438,1.01132856,1.354989701
199307,-0.34,-0.0034,0.96,2.85,0.24,-0.01,0.0072,0.0261,1.092944748,1.018610126,1.390354932
199308,3.71,0.0371,0.13,0.13,0.25,0.03,-0.0012,-0.0012,1.133492998,1.017387794,1.388686506
199309,-0.12,-0.0012,3.04,-0.31,0.26,-0.01,0.0278,-0.0057,1.132132806,1.045671174,1.380770993
199310,1.41,0.0141,2.03,-2.76,0.22,0.02,0.0181,-0.0298,1.148095879,1.064597822,1.339624017
199311,-1.89,-0.0189,-1.25,-0.74,0.25,-0.01,-0.015,-0.0099,1.126396867,1.048628855,1.32636174
199312,1.65,0.0165,1.23,0.32,0.23,0.01,0.01,0.0009,1.144982415,1.059115144,1.327555465
199401,2.87,0.0287,0.34,1.15,0.25,0.03,0.0009,0.009,1.17784341,1.060068347,1.339503464
199402,-2.55,-0.0255,2.8,-1.54,0.21,-0.03,0.0259,-0.0175,1.147808404,1.087524118,1.316062154
199403,-4.78,-0.0478,-1.08,1.6,0.27,-0.05,-0.0135,0.0133,1.092943162,1.072842542,1.33356578
199404,0.68,0.0068,-0.93,1.66,0.27,0.01,-0.012,0.0139,1.100375175,1.059968431,1.352102345
199405,0.58,0.0058,-2.15,0.67,0.31,0.01,-0.0246,0.0036,1.106757351,1.033893208,1.356969913
199406,-3.03,-0.0303,-0.41,1.67,0.31,-0.03,-0.0072,0.0136,1.073222604,1.026449177,1.375424704
199407,2.82,0.0282,-1.81,0.58,0.28,0.03,-0.0209,0.003,1.103487481,1.004996389,1.379550978
199408,4.01,0.0401,1.45,-2.51,0.37,0.04,0.0108,-0.0288,1.147737329,1.01585035,1.33981991
199409,-2.31,-0.0231,3.14,-1.89,0.37,-0.03,0.0277,-0.0226,1.121224597,1.043989405,1.30953998
199410,1.34,0.0134,-2.24,-1.62,0.38,0.02,-0.0262,-0.02,1.136249006,1.016636882,1.28334918
199411,-4.04,-0.0404,0.25,-0.7,0.37,-0.04,-0.0012,-0.0107,1.090344546,1.015416918,1.269617344
199412,0.86,0.0086,0.22,-0.13,0.44,0.01,-0.0022,-0.0057,1.09972151,1.013183001,1.262380525
199501,1.8,0.018,-3.5,2.57,0.42,0.02,-0.0392,0.0215,1.119516497,0.973466227,1.289521707
199502,3.63,0.0363,-0.66,1.08,0.4,0.04,-0.0106,0.0068,1.160154946,0.963147485,1.298290454
199503,2.19,0.0219,-0.16,-2.15,0.46,0.03,-0.0062,-0.0261,1.185562339,0.957175971,1.264405073
199504,2.11,0.0211,-0.49,1.71,0.44,0.03,-0.0093,0.0127,1.210577704,0.948274234,1.280463018
199505,2.9,0.029,-2.55,2.29,0.54,0.04,-0.0309,0.0175,1.245684458,0.918972561,1.302871121
199506,2.72,0.0272,3.18,-2.54,0.47,0.02,0.0271,-0.0301,1.279567075,0.943876717,1.2636547
199507,3.72,0.0372,2.07,-1.62,0.45,0.03,0.0162,-0.0207,1.32716697,0.95916752,1.237497048
199508,0.55,0.0055,1.35,2.79,0.47,0,0.0088,0.0232,1.334466388,0.967608194,1.266206979
199509,3.35,0.0335,-2.2,-0.04,0.43,0.04,-0.0263,-0.0047,1.379171012,0.942160098,1.260255806
199510,-1.52,-0.0152,-3.78,-0.5,0.47,0,-0.0425,-0.0097,1.358207613,0.902118294,1.248031325
199511,3.96,0.0396,-1.09,0.51,0.42,0.04,-0.0151,0.0009,1.411992635,0.888496308,1.249154553
199512,1.03,0.0103,0.7,0.22,0.49,0.02,0.0021,-0.0027,1.426536159,0.89036215,1.245781836
199601,2.26,0.0226,-2.73,0.38,0.43,0.03,-0.0316,-0.0005,1.458775876,0.862226706,1.245158945
199602,1.33,0.0133,1.79,-1.08,0.39,0.01,0.014,-0.0147,1.478177595,0.87429788,1.226855109
199603,0.73,0.0073,1.49,0.35,0.39,0.01,0.011,-0.0004,1.488968291,0.883915157,1.226364366
199604,2.06,0.0206,5.23,-4.02,0.46,0.01,0.0477,-0.0448,1.519641038,0.92607791,1.171423243
199605,2.36,0.0236,3.17,-0.83,0.42,0.02,0.0275,-0.0125,1.555504567,0.951545052,1.156780452
199606,-1.14,-0.0114,-4.01,2.35,0.4,0,-0.0441,0.0195,1.537771815,0.909581916,1.179337671
199607,-5.97,-0.0597,-4.31,5.14,0.45,-0.05,-0.0476,0.0469,1.445966837,0.866285816,1.234648608
199608,2.77,0.0277,2.44,-0.74,0.41,0.02,0.0203,-0.0115,1.486020119,0.883871418,1.220450149
199609,5.01,0.0501,-0.98,-2.72,0.44,0.05,-0.0142,-0.0316,1.560469727,0.871320444,1.181883924
199610,0.86,0.0086,-4.44,4.94,0.42,0.03,-0.0486,0.0452,1.573889766,0.828974271,1.235305078
199611,6.25,0.0625,-4.02,1.39,0.41,0.07,-0.0443,0.0098,1.672257877,0.792250711,1.247411067
199612,-1.7,-0.017,3.16,1.31,0.46,-0.02,0.027,0.0085,1.643829493,0.81364148,1.258014061
199701,4.99,0.0499,-1.95,-1.42,0.45,0.06,-0.024,-0.0187,1.725856585,0.794114084,1.234489198
199702,-0.49,-0.0049,-3.22,5.67,0.39,0.01,-0.0361,0.0528,1.717399887,0.765446566,1.299670228
199703,-5.03,-0.0503,-0.36,3.39,0.43,-0.04,-0.0079,0.0296,1.631014673,0.759399538,1.338140467
199704,4.04,0.0404,-5.77,0.07,0.43,0.06,-0.062,-0.0036,1.696907666,0.712316767,1.333323161
199705,6.74,0.0674,5.19,-4.13,0.49,0.06,0.047,-0.0462,1.811279242,0.745795655,1.271723631
199706,4.1,0.041,1.22,1.58,0.37,0.04,0.0085,0.0121,1.885541691,0.752134918,1.287111487
199707,7.33,0.0733,-2.74,0.26,0.43,0.08,-0.0317,-0.0017,2.023751897,0.728292241,1.284923398
199708,-4.15,-0.0415,7.28,1.18,0.41,-0.06,0.0687,0.0077,1.939766194,0.778325918,1.294817308
199709,5.35,0.0535,2.53,0.37,0.44,0.05,0.0209,-0.0007,2.043543685,0.794592929,1.293910936
199710,-3.8,-0.038,-0.73,2.27,0.42,-0.04,-0.0115,0.0185,1.965889025,0.785455111,1.317848288
199711,2.98,0.0298,-5.12,1.2,0.39,0.04,-0.0551,0.0081,2.024472518,0.742176534,1.328522859
199712,1.32,0.0132,-2.48,3.84,0.48,0.02,-0.0296,0.0336,2.051195555,0.720208109,1.373161227
199801,0.15,0.0015,-1.07,-1.63,0.43,0.01,-0.015,-0.0206,2.054272348,0.709404987,1.344874106
199802,7.04,0.0704,0.32,-0.85,0.39,0.07,-0.0007,-0.0124,2.198893122,0.708908404,1.328197667
199803,4.76,0.0476,-1.14,1.39,0.39,0.05,-0.0153,0.01,2.303560434,0.698062105,1.341479644
199804,0.73,0.0073,0.07,0.94,0.43,0.01,-0.0036,0.0051,2.320376425,0.695549081,1.34832119
199805,-3.07,-0.0307,-3.38,3.44,0.4,-0.02,-0.0378,0.0304,2.249140869,0.669257326,1.389310154
199806,3.18,0.0318,-3.21,-1.96,0.41,0.04,-0.0362,-0.0237,2.320663549,0.645030211,1.356383503
199807,-2.46,-0.0246,-4.91,-1.78,0.4,-0.01,-0.0531,-0.0218,2.263575226,0.610779107,1.326814343
