Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
200201,-1.44,-0.0144,1.19,3.44,0.14,-0.02,0.0105,0.033,0.9856,1.0105,1.033
200202,-2.29,-0.0229,-1.01,2.16,0.13,-0.02,-0.0114,0.0203,0.96302976,0.9989803,1.0539699
200203,4.24,0.0424,4.21,1.06,0.13,0.04,0.0408,0.0093,1.003862222,1.039738696,1.06377182
200204,-5.2,-0.052,5.96,3.88,0.15,-0.06,0.0581,0.0373,0.951661386,1.100147514,1.103450509
200205,-1.38,-0.0138,-3.21,1.53,0.14,-0.01,-0.0335,0.0139,0.938528459,1.063292573,1.118788471
200206,-7.21,-0.0721,4.29,-0.05,0.13,-0.08,0.0416,-0.0018,0.870860557,1.107525544,1.116774652
200207,-8.18,-0.0818,-5.28,-3.85,0.15,-0.08,-0.0543,-0.04,0.799624164,1.047386907,1.072103666
200208,0.5,0.005,-2.86,3.28,0.14,0,-0.03,0.0314,0.803622284,1.0159653,1.105767721
200209,-10.35,-0.1035,2.4,1.47,0.14,-0.12,0.0226,0.0133,0.720447378,1.038926115,1.120474432
200210,7.84,0.0784,-3.41,-3.95,0.14,0.08,-0.0355,-0.0409,0.776930452,1.002044238,1.074647027
200211,5.96,0.0596,3.18,-1.23,0.12,0.06,0.0306,-0.0135,0.823235507,1.032706792,1.060139292
200212,-5.76,-0.0576,0.09,2.14,0.11,-0.06,-0.0002,0.0203,0.775817142,1.032500251,1.08166012
200301,-2.57,-0.0257,1.33,-0.83,0.1,-0.03,0.0123,-0.0093,0.755878642,1.045200004,1.071600681
200302,-1.88,-0.0188,-0.45,-1.39,0.09,-0.02,-0.0054,-0.0148,0.741668123,1.039555924,1.055740991
200303,1.09,0.0109,1.02,-1.93,0.1,0.01,0.0092,-0.0203,0.749752306,1.049119838,1.034309449
200304,8.22,0.0822,0.63,1.14,0.1,0.08,0.0053,0.0104,0.811381945,1.054680173,1.045066267
200305,6.05,0.0605,4.67,0.4,0.09,0.05,0.0458,0.0031,0.860470553,1.102984525,1.048305972
200306,1.42,0.0142,1.74,0.11,0.1,0.01,0.0164,0.0001,0.872689235,1.121073471,1.048410803
200307,2.35,0.0235,5.06,-1.24,0.07,0.02,0.0499,-0.0131,0.893197432,1.177015038,1.034676621
200308,2.34,0.0234,2.59,1.53,0.07,0.02,0.0252,0.0146,0.914098252,1.206675817,1.0497829
200309,-1.24,-0.0124,0.8,0.16,0.08,-0.01,0.0072,0.0008,0.902763433,1.215363882,1.050622726
200310,6.08,0.0608,2.7,1.97,0.07,0.05,0.0263,0.019,0.95765145,1.247327953,1.070584558
200311,1.35,0.0135,2.08,1.78,0.07,0.01,0.0201,0.0171,0.970579745,1.272399244,1.088891554
200312,4.29,0.0429,-2.68,1.6,0.08,0.05,-0.0276,0.0152,1.012217616,1.237281025,1.105442706
200401,2.15,0.0215,2.55,2.49,0.07,0.02,0.0248,0.0242,1.033980295,1.267965595,1.132194419
200402,1.4,0.014,-1.58,0.9,0.06,0.01,-0.0164,0.0084,1.048456019,1.247170959,1.141704852
200403,-1.32,-0.0132,1.72,0.27,0.09,-0.02,0.0163,0.0018,1.034616399,1.267499846,1.143759921
200404,-1.83,-0.0183,-1.68,-3.1,0.08,-0.02,-0.0176,-0.0318,1.015682919,1.245191848,1.107388356
