Date,SP500_Return,SP500_Return_MinusOne
200202,0.986402068,-0.013597932
200203,1.02199153,0.02199153
200204,0.957212921,-0.042787079
200205,0.948480323,-0.051519677
200206,0.877140998,-0.122859002
200207,0.804952407,-0.195047593
200208,0.808872158,-0.191127842
200209,0.714589074,-0.285410926
200210,0.773838814,-0.226161186
200211,0.81678732,-0.18321268
200212,0.765959236,-0.234040764
200301,0.744667489,-0.255332511
200302,0.731896557,-0.268103443
200303,0.73798804,-0.26201196
200304,0.795497493,-0.204502507
200305,0.834990495,-0.165009505
200306,0.844391341,-0.155608659
200307,0.857980558,-0.142019442
200308,0.873179979,-0.126820021
200309,0.862687645,-0.137312355
200310,0.908845116,-0.091154884
200311,0.915300848,-0.084699152
200312,0.960625539,-0.039374461
200401,0.97707998,-0.02292002
200402,0.988936944,-0.011063056
200403,0.9726252,-0.0273748
200404,0.956155355,-0.043844645
200405,0.96763976,-0.03236024
200406,0.984891992,-0.015108008
200407,0.950526906,-0.049473094
200408,0.952698595,-0.047301405
200409,0.961578067,-0.038421933
200410,0.974960306,-0.025039694
200411,1.011880863,0.011880863
200412,1.044202859,0.044202859
200501,1.017454821,0.017454821
200502,1.036508631,0.036508631
200503,1.016501162,0.016501162
200504,0.995852446,-0.004147554
200505,1.025242266,0.025242266
200506,1.025095977,0.025095977
200507,1.061319231,0.061319231
200508,1.049341747,0.049341747
200509,1.056608342,0.056608342
200510,1.037695058,0.037695058
200511,1.073579838,0.073579838
200512,1.072556877,0.072556877
200601,1.099529496,0.099529496
200602,1.100027576,0.100027576
200603,1.112166088,0.112166088
200604,1.125603694,0.125603694
200605,1.090254207,0.090254207
200606,1.090348628,0.090348628
200607,1.095879884,0.095879884
200608,1.118949388,0.118949388
200609,1.146105592,0.146105592
200610,1.181659892,0.181659892
200611,1.200959359,0.200959359
200612,1.216015589,0.216015589
200701,1.232992593,0.232992593
200702,1.205757875,0.205757875
200703,1.217731634,0.217731634
200704,1.269338902,0.269338902
200705,1.309996745,0.309996745
200706,1.286447025,0.286447025
200707,1.244631706,0.244631706
200708,1.26054004,0.26054004
200709,1.304871069,0.304871069
200710,1.324070365,0.324070365
200711,1.264430543,0.264430543
200712,1.253473076,0.253473076
200801,1.17436149,0.17436149
200802,1.132812924,0.132812924
200803,1.126041634,0.126041634
200804,1.178347326,0.178347326
200805,1.190858531,0.190858531
200806,1.083819938,0.083819938
200807,1.073081124,0.073081124
200808,1.086083431,0.086083431
200809,0.982709155,-0.017290845
200810,0.800282481,-0.199717519
200811,0.738021827,-0.261978173
200812,0.743771855,-0.256228145
200901,0.677167171,-0.322832829
200902,0.598306622,-0.401693378
200903,0.647339487,-0.352660513
200904,0.705452587,-0.294547413
200905,0.741938989,-0.258061011
200906,0.742084272,-0.257915728
200907,0.795159606,-0.204840394
200908,0.821407285,-0.178592715
200909,0.850238767,-0.149761233
200910,0.833268115,-0.166731885
200911,0.879746991,-0.120253009
200912,0.895243335,-0.104756665
201001,0.861514916,-0.138485084
201002,0.885736188,-0.114263812
201003,0.936340741,-0.063659259
201004,0.950059508,-0.049940492
201005,0.868799347,-0.131200653
201006,0.820677959,-0.179322041
201007,0.875265996,-0.124734004
201008,0.832717737,-0.167282263
201009,0.902606467,-0.097393533
201010,0.935274504,-0.064725496
201011,0.933130004,-0.066869996
201012,0.992156558,-0.007843442
201101,1.014373905,0.014373905
201102,1.046282655,0.046282655
201103,1.045186307,0.045186307
201104,1.074552819,0.074552819
201105,1.059946536,0.059946536
201106,1.040415714,0.040415714
201107,1.017829988,0.017829988
201108,0.958320021,-0.041679979
201109,0.886956682,-0.113043318
201110,0.977698197,-0.022301803
201111,0.972739817,-0.027260183
201112,0.981004753,-0.018995247
201201,1.022854415,0.022854415
201202,1.063551062,0.063551062
201203,1.096363246,0.096363246
201204,1.088112296,0.088112296
201205,1.017712246,0.017712246
201206,1.057192013,0.057192013
201207,1.070426945,0.070426945
201208,1.091375845,0.091375845
201209,1.117511085,0.117511085
201210,1.095174456,0.095174456
201211,1.098287664,0.098287664
201212,1.106023395,0.106023395
201301,1.160437269,0.160437269
201302,1.173201942,0.173201942
